Post Link,title,CreationDate,PostTypeId,AnswerCount,tags,ViewCount,Score,User Link,LastActivityDate,LastEditDate,ClosedDate
"29352877","Setting up vagrant in virtualbox","2015-03-30 17:50:56","1","1","<vagrant><virtualbox>","40","0","3816096","2015-03-31 14:57:36","2015-03-31 14:57:36",""
"29367222","","2015-03-31 11:07:59","2","","","","1","194063","2015-03-31 11:07:59","",""
"29367382","AWS EMR Requirements and Price","2015-03-31 11:16:47","1","0","<linux><hadoop><amazon-ec2><hive><amazon-emr>","13","-1","3291973","2015-03-31 12:52:25","2015-03-31 12:52:25",""
"29378051","Inconsistent runtime kernel parameters in DOCKER container and on host","2015-03-31 20:35:05","1","1","<hadoop><docker><bluemix><sysctl><biginsights>","56","0","3656912","2015-04-01 13:57:53","",""
"29380344","docker exec -it command returns following error ""cannot enable tty mode on non tty input""","2015-03-31 23:34:49","1","1","<centos><docker>","153","0","2118095","2015-04-01 23:01:36","2015-04-01 01:24:03",""
"29398730","if block without else shell script in %preun scriptlet","2015-04-01 19:01:36","1","2","<bash><shell><centos><rpm><rpmbuild>","44","-1","904379","2015-04-02 11:38:32","",""
"29418196","Firefox with selenium-server-standalone-2.45.0","2015-04-02 16:46:28","1","0","<php><google-chrome><firefox><selenium><mink>","98","0","3464546","2015-04-08 19:05:42","2015-04-08 19:05:42",""
"29420945","can't use mail() on nginx but can send mail on console using msmtp","2015-04-02 19:29:22","1","0","<nginx><centos><gmail><php-fpm><msmtp>","22","-1","1824371","2015-04-02 19:29:22","",""
"29427274","Exec(""adduser myownuser"") not working on CentOS server","2015-04-03 06:27:55","1","1","<php><linux><nginx><centos>","19","0","2658382","2015-04-03 07:13:19","2015-04-03 07:04:13",""
"29686866","lxc-create --download gives different list as root","2015-04-16 22:09:07","1","0","<ubuntu-14.04><sudo><lxc><linux-containers>","12","0","4784334","2015-04-21 05:57:43","2015-04-21 05:57:43",""
"29690388","Redis ""Fatal error, can't open config file 'restart'"" after a crash","2015-04-17 04:34:13","1","0","<redis>","10","0","1006225","2015-04-17 04:34:13","",""
"29690534","","2015-04-17 04:46:21","2","","","","1","1545014","2015-04-19 12:58:31","2015-04-19 12:58:31",""
"29720351","Apache Server Hosting Multiple Sites Using Different Directories (CentOS)","2015-04-18 17:12:12","1","1","<php><apache><amazon-ec2><centos>","25","0","2421688","2015-04-18 17:32:47","",""
"29726812","how to choose version of mongodb,suported ssl","2015-04-19 07:00:43","1","0","<mongodb><ssl><centos6>","15","0","1953890","2015-04-19 07:00:43","",""
"29729245","","2015-04-19 11:28:08","2","","","","0","4783831","2015-04-19 11:28:08","",""
"29742948","wkhtmltopdf + laravel 4 + centos 6.4 = bad encoding","2015-04-20 08:39:55","1","0","<laravel><pdf-generation>","6","0","3577827","2015-04-20 08:39:55","",""
"29745189","Can a normal user execute ""shutdown now"" successfully?","2015-04-20 10:20:53","1","0","<centos><shutdown>","19","0","847919","2015-04-20 11:21:02","2015-04-20 11:21:02",""
"29764568","throw new FileException('File must be readable.');","2015-04-21 06:31:17","1","2","<php><linux><laravel-4><centos>","23","1","2131251","2015-04-21 07:20:24","",""
"29766055","Failed to build these modules: _hashlib _ssl centos5.4 python2.7.9","2015-04-21 07:50:05","1","0","<python><ssl><openssl>","20","-5","1856518","2015-04-21 07:50:05","",""
"29779106","How to upload OpenStack Ubuntu Cloud images to AWS EC2?","2015-04-21 17:23:35","1","0","<ubuntu><amazon-ec2><virtual-machine><openstack><ami>","18","1","2625096","2015-04-23 13:54:13","2015-04-23 13:54:13",""
"29803043","Scheduler on Debian","2015-04-22 16:02:11","1","0","<debian><scheduled-tasks><web2py>","8","-1","4820339","2015-04-22 16:02:11","",""
"29830510","mod_rewrite.so is missing under /etc/httpd/modules","2015-04-23 17:30:55","1","1","<apache><.htaccess><mod-rewrite><centos><centos6>","19","0","4742487","2015-04-24 14:18:41","",""
"29838037","Centos 7 and systemd: CPU Quota?","2015-04-24 03:06:58","1","1","<centos><centos7><systemd><cgroups><resource-scheduling>","14","0","4547826","2015-04-24 20:24:43","",""
"29843669","cron service is running but not executing cron jobs in centos","2015-04-24 09:26:37","1","1","<tomcat><cron><centos><logrotate><catalina>","7","0","2219920","2015-04-24 10:40:11","",""
"29845882","Getting error while creating the AWS EC2 Own AMI using EC2 instance","2015-04-24 11:06:17","1","0","<linux><amazon-ec2><centos><ami>","16","1","2318656","2015-04-24 11:06:17","",""
"29851916","CentOS 5.5 Gnome login screen stuck at loading","2015-04-24 15:45:41","1","1","<centos><gnome>","6","0","3583980","2015-04-24 16:51:07","",""
"29856179","Workstatin 11 Vmware tool on Centos 7 guest","2015-04-24 19:46:00","1","0","<centos><vmware-workstation><vmware-tools>","7","0","1941319","2015-04-24 19:49:11","2015-04-24 19:49:11",""
"29322652","Option --skip-slave-start Not Working with Systemctl","2015-03-28 21:08:54","1","0","<mysql><linux><replication><database-replication><master-slave>","21","0","4163515","2015-03-28 21:08:54","",""
"29324087","CentOS screen getting dead","2015-03-29 00:02:02","1","0","<centos><screens>","8","-1","4231268","2015-03-29 00:02:02","",""
"29327794","Is my NGINX conf file correct","2015-03-29 10:00:39","1","1","<nginx><centos>","24","-1","2723357","2015-03-29 16:41:54","",""
"29350666","","2015-03-30 15:51:46","2","","","","0","1195474","2015-03-30 15:59:56","2015-03-30 15:59:56",""
"29365479","NFS user permissions issue","2015-03-31 09:43:23","1","1","<linux><linux-kernel><centos><storage><nfs>","26","-1","450460","2015-03-31 12:19:43","",""
"29373399","Docker volumes on CentOS 7","2015-03-31 16:13:55","1","1","<linux><tomcat><centos><docker>","59","0","4731156","2015-04-01 13:21:21","2015-04-01 12:50:28",""
"29387611","Failed opening required 'Net/SSH2.php'?","2015-04-01 09:49:09","1","1","<centos><phpseclib><libssh2>","43","0","146366","2015-04-01 15:25:31","2015-04-01 15:25:31",""
"29389921","Getting 403 error with Curl for calling java web application with jsessionId","2015-04-01 11:44:52","1","0","<java><tomcat><curl><centos>","30","0","1635051","2015-04-01 11:44:52","",""
"29411469","postfix mail attack, how to ban this email address?","2015-04-02 11:10:09","1","0","<email><centos><postfix><dovecot>","29","-2","2728022","2015-04-02 11:10:09","",""
"29419484","how to deal with config changes in rpm for a nodejs app","2015-04-02 18:01:42","1","1","<node.js><shell><centos><rpm><rpmbuild>","22","-1","904379","2015-04-03 15:01:02","2015-04-02 19:35:33",""
"29438648","Can't install Docker on CentOS 7 running on Vagrant","2015-04-03 19:41:06","1","1","<docker><vagrant><centos7>","404","1","1152054","2015-04-03 23:44:20","",""
"29438695","Unable to start TLS, Can""t connect to Active Directory","2015-04-03 19:45:29","1","0","<authentication><ldap><wikimedia>","9","-1","4747236","2015-04-03 19:45:29","",""
"29682410","","2015-04-16 17:52:16","2","","","","0","4532062","2015-04-16 17:52:16","",""
"29702625","CentOS Can't get MySQL started when trying to updated from MySQL 5.1 to 5.5","2015-04-17 14:53:30","1","0","<mysql><centos>","23","0","1807271","2015-04-17 15:16:14","2015-04-17 15:16:14",""
"29731882","mkfs ext4 failing on Azure VM","2015-04-19 15:31:06","1","0","<linux><azure><centos>","17","-1","1911141","2015-04-19 16:28:02","2015-04-19 16:28:02",""
"29748429","Java program is getting slower after running for a while","2015-04-20 12:52:42","1","5","<java><linux><performance><memory><garbage-collection>","266","10","4810095","2015-04-23 12:25:29","2015-04-22 17:49:31",""
"29758804","ZF2 shared installation for many virtual hosts","2015-04-20 21:32:50","1","1","<zend-framework2><centos>","35","0","3115000","2015-04-22 05:34:00","",""
"29764433","error using php curl with ssl certificate on Centos","2015-04-21 06:23:50","1","0","<php><ssl><certificate>","12","1","3392958","2015-04-21 06:23:50","",""
"29775118","make: *** [ext/zip/lib/zip_add.lo] Error 1","2015-04-21 14:27:56","1","0","<php><centos>","26","-5","4815301","2015-04-21 14:34:48","2015-04-21 14:34:48",""
"29776981","Unable install Mongo Driver in PHP 5.3.15","2015-04-21 15:43:38","1","0","<php><apache><mongodb>","17","1","1029113","2015-04-24 07:30:55","2015-04-24 07:30:55",""
"29778873","Can't push git updates & run Unix commands when connecting via SSH","2015-04-21 17:10:52","1","1","<java><linux><git><ssh><centos>","19","0","4489520","2015-04-21 17:19:09","2015-04-21 17:19:09",""
"29784421","","2015-04-21 22:38:22","2","","","","0","4815238","2015-04-21 23:21:00","2015-04-21 23:21:00",""
"29786441","Installing MATLAB Runtime on CentOS 7","2015-04-22 02:04:24","1","1","<centos><matlab-compiler>","15","0","1208071","2015-04-22 21:04:52","",""
"29790656","while (true) loop only activates upon receiving data from IRC socket, not Telegram socket","2015-04-22 07:29:44","1","0","<php><bash><sockets><telegram>","15","1","3392517","2015-04-22 07:29:44","",""
"29796632","Fabric locks up when using stdout and run via import statement?","2015-04-22 11:49:37","1","0","<python><fabric><python-import>","15","0","901641","2015-04-22 13:43:21","2015-04-22 13:43:21",""
"29796837","sending mails in a local network with postfix","2015-04-22 11:57:54","1","0","<email><centos><vagrant><postfix>","10","-2","3827502","2015-04-22 12:18:18","2015-04-22 12:18:18",""
"29817074","Unknown DAV provider: svn","2015-04-23 07:53:49","1","0","<linux><apache><svn><centos>","13","0","4818804","2015-04-23 08:48:15","2015-04-23 08:48:15",""
"29831726","Update api Youtube","2015-04-23 18:37:38","1","0","<php><youtube-api>","49","1","2000259","2015-04-23 18:37:38","",""
"29831735","ffmpeg convert mp4 video for phones","2015-04-23 18:38:01","1","1","<linux><video><ffmpeg><centos><converter>","19","0","4585171","2015-04-23 20:14:09","2015-04-23 20:13:16",""
"29835319","","2015-04-23 22:16:18","2","","","","0","1242581","2015-04-23 22:16:18","",""
"29864192","How vagrantfile use dowloaded vagrant box","2015-04-25 10:49:12","1","2","<vagrant><virtualbox>","8","2","746881","2015-04-26 01:39:04","",""
"29314548","How do you install nginx on CentOS 6.5 using ansible","2015-03-28 06:51:09","1","0","<nginx><ansible><centos6.5>","101","0","3380943","2015-03-29 06:28:44","2015-03-29 06:28:44",""
"29372508","","2015-03-31 15:32:41","2","","","","0","1901099","2015-03-31 15:32:41","",""
"29381700","c server handle multiple connections, error on port no","2015-04-01 00:42:34","1","1","<linux><centos><c>","25","0","1828284","2015-04-01 02:10:18","",""
"29391697","tungsten replicator systemd mysql boot script?","2015-04-01 13:08:32","1","0","<mysql><centos><centos7><systemd><tungsten-replicator>","17","0","2363795","2015-04-01 13:08:32","",""
"29399509","PHP strftime(""%z"", time()) for the Europe/Moscow zoneinfo file is giving wrong GMT offset","2015-04-01 19:48:04","1","1","<php><timezone>","34","1","4114967","2015-04-02 20:53:00","2015-04-02 08:41:23",""
"29406851","How to Create a database user by your name and grant permission to a database in a way it is accessible by your account and your machine only","2015-04-02 06:57:27","1","0","<mysql><database><privileges>","13","-2","4076465","2015-04-02 06:57:27","",""
"29424363","","2015-04-02 23:55:21","2","","","","0","3961859","2015-04-02 23:55:21","",""
"29442323","Django CentOS 7 - cannot import name Col","2015-04-04 03:12:47","1","1","<python><django><centos>","44","0","4094556","2015-04-13 18:24:28","2015-04-04 11:30:17",""
"29447145","CentOs-net.sf.jasperreports.engine.JRRuntimeException: No input source supplied to the exporter","2015-04-04 13:43:57","1","0","<java><spring><tomcat><centos><jasper-reports>","12","0","4749301","2015-04-04 21:18:40","2015-04-04 21:18:40",""
"29458546","","2015-04-05 14:53:00","2","","","","0","4751540","2015-04-05 14:53:00","",""
"29460133","Get the error message of openssl_pkcs7_sign","2015-04-05 17:30:00","1","0","<openssl><digital-signature><tcpdf>","15","-1","154293","2015-04-06 08:29:00","2015-04-06 08:29:00",""
"29460159","How to start use ElasticSearch in terminal CentOS?","2015-04-05 17:32:14","1","1","<linux><elasticsearch><centos><elastic>","25","0","4727317","2015-04-05 18:59:39","2015-04-05 17:52:33",""
"29465197","Deploying asp.net application to eucalyptus cloud","2015-04-06 04:06:37","1","0","<asp.net><visual-studio-2010><cloud><eucalyptus>","16","1","4699046","2015-04-06 04:06:37","",""
"29681622","Python Script timeout error Ambari","2015-04-16 17:11:34","1","1","<java><python><hadoop><ambari>","35","1","2043974","2015-04-21 11:04:57","2015-04-16 17:33:06",""
"29687688","mod_nss configuration for apache on centos 6","2015-04-16 23:29:01","1","0","<apache><nss>","7","0","2526203","2015-04-16 23:29:01","",""
"29715144","Fail2Ban: Sending Mails with CentOS 7 using postfix","2015-04-18 09:02:49","1","0","<centos><postfix><fail2ban>","23","0","4040474","2015-04-18 09:02:49","","2015-04-18 10:03:46"
"29717202","Installing R package gsubfn","2015-04-18 12:15:20","1","0","<r><centos>","35","0","1002903","2015-04-18 12:15:20","",""
"29742497","out of memory when generate cloudfoundry deploy manifest file cf-deployment.yml for openstack","2015-04-20 08:14:30","1","1","<deployment><memory-leaks><installation><out-of-memory><cloudfoundry>","22","0","4286101","2015-04-22 08:05:27","",""
"29746780","FuncAnimation Plot hangs when length of list increases","2015-04-20 11:36:27","1","1","<python><matplotlib><wxpython><python-multiprocessing>","21","0","4189692","2015-04-21 08:41:59","",""
"29749878","How do I revert GCC version from 4.8.3 to 4.8.2?","2015-04-20 13:53:14","1","3","<linux><gcc><centos>","45","1","1232685","2015-04-20 16:00:50","",""
"29756393","Centos internet sharing with dual WAN and subnet routing","2015-04-20 19:11:55","1","0","<routing><centos><iptables>","14","-1","2108795","2015-04-20 19:11:55","","2015-04-21 01:27:02"
"29768399","error using PKCS#12 certificate to sign some data with Java","2015-04-21 09:39:34","1","2","<java><ibm><pkcs#12>","29","0","2062407","2015-04-21 10:44:51","2015-04-21 10:44:51",""
"29772293","Application Migration from Windows 2003 Server to CentOS","2015-04-21 12:30:36","1","0","<linux><spring><java-ee><centos><windows-server-2003>","19","0","1324765","2015-04-21 12:35:55","2015-04-21 12:35:55",""
"29817376","XDMCP with Xinetd and XRDP authentication in CentOS","2015-04-23 08:09:33","1","0","<centos><pam><xinetd><xrdp><xdmcp>","14","0","4823057","2015-04-23 08:09:33","",""
"29831200","centos 7 GNOME version how can i download a zip file on firefox","2015-04-23 18:08:55","1","0","<linux><virtualbox><redhat><centos7>","23","-3","3899820","2015-04-23 19:07:05","2015-04-23 19:07:05","2015-04-24 05:49:06"
"29870144","sqlite3 cannot open database file, running Centos, flask uwsgi nginx","2015-04-25 20:06:13","1","0","<nginx><sqlite3><flask><centos><uwsgi>","7","0","442920","2015-04-25 20:06:13","",""
"29301330","laravel 5 pagination page[] Unsupported operand types","2015-03-27 13:01:39","1","0","<pagination><laravel-5>","31","-1","4583389","2015-03-27 13:01:39","",""
"29308007","docker centos:6.6 image ""/bin/sh: java: command not found"" java is installed","2015-03-27 18:44:31","1","1","<java><maven><jenkins><docker>","77","0","2363318","2015-03-27 20:03:10","",""
"29308870","AllowUsers on sshd_config, forgot to put root","2015-03-27 19:37:26","1","1","<linux><ssh><centos><root><sshd>","23","0","4718346","2015-04-15 03:33:34","2015-03-27 20:15:25",""
"29332378","Ansible: Start role if service present","2015-03-29 17:28:59","1","2","<service><ansible>","68","-1","4726675","2015-04-03 16:02:50","2015-04-01 18:35:02",""
"29339622","Please help .. Recover deleted database with no backup","2015-03-30 06:26:00","1","0","<mysql><centos><recover>","25","-2","2068325","2015-03-30 06:26:00","",""
"29369718","Centos and Mercurial 1.7","2015-03-31 13:20:47","1","0","<mercurial><centos>","23","0","3384482","2015-03-31 13:20:47","",""
"29381493","Upgrading to latest version of git in centos and gitweb is not showing repositories","2015-04-01 01:43:13","1","0","<linux><git><repository><gitweb>","11","0","2234367","2015-04-01 01:43:13","",""
"29401294","","2015-04-01 21:36:36","2","","","","3","3788457","2015-04-01 21:36:36","",""
"29401437","are binaries interchangeable between centos and redhat?","2015-04-01 21:48:02","1","0","<centos><redhat>","8","0","1019384","2015-04-01 21:48:02","",""
"29415154","Which yum package will provide ""GTK+ peers""?","2015-04-02 14:14:38","1","0","<linux><centos><gtk><xorg><centos7>","32","0","1044866","2015-04-02 16:01:37","2015-04-02 16:01:37",""
"29428915","Sed cannot find file while building Docker image","2015-04-03 08:38:27","1","2","<sed><docker><dockerfile>","31","0","892404","2015-04-04 04:27:18","2015-04-03 09:08:48",""
"29432946","vncserver shows weird screen instead of gnome in CentOS 5","2015-04-03 13:16:12","1","0","<terminal><centos><vnc>","18","-1","4746354","2015-04-03 13:16:12","",""
"29443096","How to install vlc on centos7 from terminal?","2015-04-04 05:28:17","1","1","<linux><centos><vlc><fedora-21>","89","-1","3764801","2015-04-04 08:01:27","2015-04-04 08:01:27",""
"29478557","Adding External Context in Websphere Application Server","2015-04-06 19:51:51","1","1","<tomcat><websphere>","12","0","1952974","2015-04-07 17:08:15","",""
"29498612","How to install videowhisper video conference on red5 on centos?","2015-04-07 18:28:23","1","0","<centos><red5>","27","0","4555847","2015-04-07 22:51:19","2015-04-07 22:51:19",""
"29504396","CentOS 6.5 - PHP 5.6.7 and bcmath","2015-04-08 01:37:46","1","0","<php><linux><apache><bcmath>","119","0","4761449","2015-04-08 02:35:27","2015-04-08 02:35:27",""
"29685029","how to use iptables to limit a number of IP connection or other program?","2015-04-16 20:09:33","1","0","<ubuntu><centos><iptables>","14","-1","2828796","2015-04-16 20:09:33","","2015-04-17 05:46:55"
"29710469","How to run a jar file multiple times? CentOS","2015-04-17 22:29:28","1","1","<java><bash><centos>","21","1","4803089","2015-04-17 22:33:05","",""
"29722365","can't connect android device to centos vm","2015-04-18 20:19:59","1","1","<android><post><virtual-machine><httpurlconnection>","20","0","4805404","2015-04-19 11:34:01","2015-04-19 11:34:01",""
"29726081","Not able to access Neo4j server on CentOS VM on Mac","2015-04-19 05:12:50","1","0","<osx><neo4j><centos>","27","0","1429215","2015-04-19 16:58:27","2015-04-19 16:58:27",""
"29728994","Building pgadmin3-1.20.0 in CentOS 7 with PostgreSQL-9.4","2015-04-19 11:07:15","1","0","<postgresql><build><centos><configure><pgadmin>","22","0","1843934","2015-04-19 11:07:15","",""
"29742040","OpenLDAP Centos 7 ""no certificate"" when client query with 'id ${USER}'","2015-04-20 07:48:36","1","1","<linux><ldap><centos><openldap>","21","0","2566773","2015-04-20 11:02:49","",""
"29747804","install SVN Client on CentOS with ssh","2015-04-20 12:24:36","1","2","<svn><centos><client>","21","-1","1130624","2015-04-21 06:27:30","2015-04-20 12:57:34",""
"29754226","how to configure WSGISocketPrefix","2015-04-20 17:15:22","1","0","<django><apache><centos><mod-wsgi><wsgi>","11","0","84885","2015-04-20 17:15:22","",""
"29777554","","2015-04-21 16:06:12","2","","","","0","538170","2015-04-21 16:06:12","",""
"29789121","installing python netsnmp on centos 7","2015-04-22 06:09:21","1","1","<python><net-snmp>","12","1","558397","2015-04-22 07:46:36","2015-04-22 07:46:36",""
"29812985","Unable to point website domain to rails app via virtual host + centos + apache","2015-04-23 03:13:23","1","0","<ruby-on-rails><apache><centos><virtualhost><httpd.conf>","22","5","1242400","2015-04-23 06:21:40","2015-04-23 06:21:40",""
"29816733","","2015-04-23 07:37:14","2","","","","-1","1241764","2015-04-23 07:37:14","",""
"29838105","Install pylearn2.. I can install pylearn2 in the root account but not in my own account","2015-04-24 03:14:52","1","0","<python><linux>","12","0","4182595","2015-04-24 03:14:52","",""
"29846090","how to get Ethernet adapter name from IP in c in centos","2015-04-24 11:16:53","1","3","<c++><c><linux><network-interface>","40","0","2914066","2015-04-24 13:47:26","2015-04-24 13:05:28",""
